,PL electricity final use 2023,PL hydro ROR 2023
0,16821.518264840182,276.0
1,16240.251141552513,276.0
2,16028.881278538815,276.0
3,16011.267123287673,276.0
4,16240.251141552513,276.0
5,16786.2899543379,276.0
6,18389.178082191782,276.0
7,20379.57762557078,276.0
8,21154.600456621007,276.0
9,21365.970319634707,276.0
10,21295.51369863014,276.0
11,21506.883561643837,276.0
12,21471.655251141554,276.0
13,21577.340182648404,276.0
14,21295.51369863014,276.0
15,20837.54566210046,276.0
16,20590.947488584476,276.0
17,21207.44292237443,276.0
18,22528.504566210046,276.0
19,22739.874429223746,276.0
20,22000.0799086758,276.0
21,20714.246575342466,276.0
22,19146.58675799087,276.0
23,17790.29680365297,276.0
24,16821.518264840182,276.0
25,16240.251141552513,276.0
26,15976.03881278539,276.0
27,15958.424657534248,276.0
28,16169.794520547946,276.0
29,16751.061643835616,276.0
30,18353.9497716895,276.0
31,20168.20776255708,276.0
32,21154.600456621007,276.0
33,21559.72602739726,276.0
34,21542.11187214612,276.0
35,21700.639269406394,276.0
36,21594.954337899544,276.0
37,21718.253424657538,276.0
38,21242.671232876713,276.0
39,20837.54566210046,276.0
40,20538.105022831052,276.0
41,20908.002283105026,276.0
42,22299.52054794521,276.0
43,22334.748858447492,276.0
44,21594.954337899544,276.0
45,20326.73515981735,276.0
46,19005.673515981736,276.0
47,17702.22602739726,276.0
48,16662.99086757991,276.0
49,15940.810502283106,276.0
50,15641.3698630137,276.0
51,15535.68493150685,276.0
52,15482.842465753425,276.0
53,15482.842465753425,276.0
54,15606.141552511417,276.0
55,16821.518264840182,276.0
56,18072.123287671235,276.0
57,18847.146118721463,276.0
58,19164.200913242013,276.0
59,19252.271689497717,276.0
60,19128.97260273973,276.0
61,19128.97260273973,276.0
62,18706.232876712333,276.0
63,18160.19406392694,276.0
64,18054.50913242009,276.0
65,18811.91780821918,276.0
66,20080.13698630137,276.0
67,19992.066210045665,276.0
68,19217.043378995433,276.0
69,18177.808219178085,276.0
70,17032.888127853883,276.0
71,15835.125570776258,276.0
72,14690.205479452055,276.0
73,13950.41095890411,276.0
74,13633.356164383564,276.0
75,13404.372146118723,276.0
76,13421.986301369865,276.0
77,13298.687214611873,276.0
78,13193.002283105025,276.0
79,13950.41095890411,276.0
80,15007.260273972604,276.0
81,15905.582191780824,276.0
82,16451.621004566212,276.0
83,16698.219178082192,276.0
84,16786.2899543379,276.0
85,16733.447488584476,276.0
86,16310.70776255708,276.0
87,15940.810502283106,276.0
88,15782.283105022832,276.0
89,16310.70776255708,276.0
90,18424.406392694065,276.0
91,18899.988584474886,276.0
92,18283.493150684935,276.0
93,17402.785388127853,276.0
94,16627.762557077625,276.0
95,15324.315068493152,276.0
96,14408.37899543379,276.0
97,14144.166666666668,276.0
98,13915.182648401827,276.0
99,13950.41095890411,276.0
100,14214.623287671235,276.0
101,14954.41780821918,276.0
102,17068.116438356166,276.0
103,19322.728310502283,276.0
104,20573.333333333332,276.0
105,21031.301369863013,276.0
106,21048.915525114156,276.0
107,21242.671232876713,276.0
108,21295.51369863014,276.0
109,21313.12785388128,276.0
110,21031.301369863013,276.0
111,20696.632420091326,276.0
112,20608.561643835616,276.0
113,21119.372146118723,276.0
114,22105.76484018265,276.0
115,22299.52054794521,276.0
116,21630.182648401827,276.0
117,20203.43607305936,276.0
118,18741.461187214616,276.0
119,17349.94292237443,276.0
120,16293.093607305938,276.0
121,15676.598173515984,276.0
122,15341.929223744293,276.0
123,15412.38584474886,276.0
124,15658.984018264842,276.0
125,16240.251141552513,276.0
126,17878.367579908674,276.0
127,19851.15296803653,276.0
128,20890.388127853883,276.0
129,21242.671232876713,276.0
130,21207.44292237443,276.0
131,21418.81278538813,276.0
132,21383.584474885847,276.0
133,21454.04109589041,276.0
134,21242.671232876713,276.0
135,20767.089041095893,276.0
136,20538.105022831052,276.0
137,21101.75799086758,276.0
138,22158.607305936075,276.0
139,22422.819634703195,276.0
140,21753.48173515982,276.0
141,20326.73515981735,276.0
142,18811.91780821918,276.0
143,17349.94292237443,276.0
144,16310.70776255708,276.0
145,15694.212328767126,276.0
146,15447.614155251144,276.0
147,15518.070776255709,276.0
148,15764.66894977169,276.0
149,16099.337899543381,276.0
150,17719.840182648404,276.0
151,19798.310502283108,276.0
152,20872.773972602743,276.0
153,21277.899543378997,276.0
154,21189.82876712329,276.0
155,21436.426940639274,276.0
156,21401.19863013699,276.0
157,21506.883561643837,276.0
158,21225.057077625574,276.0
159,20731.86073059361,276.0
160,20520.490867579912,276.0
161,20872.773972602743,276.0
162,22193.83561643836,276.0
163,22528.504566210046,276.0
164,21841.552511415528,276.0
165,20273.89269406393,276.0
166,18723.847031963473,276.0
167,17402.785388127853,276.0
168,12558.892694063927,276.0
169,12136.15296803653,276.0
170,11960.011415525116,276.0
171,11466.815068493152,276.0
172,11044.075342465754,276.0
173,11625.342465753427,276.0
174,12488.436073059362,276.0
175,13474.828767123288,276.0
176,14232.237442922376,276.0
177,14778.276255707764,276.0
178,14954.41780821918,276.0
179,15060.102739726028,276.0
180,14989.646118721463,276.0
181,14690.205479452055,276.0
182,14320.308219178083,276.0
183,14108.938356164386,276.0
184,14144.166666666668,276.0
185,14373.150684931506,276.0
186,14813.504566210046,276.0
187,15430.000000000002,276.0
188,15976.03881278539,276.0
189,15165.787671232878,276.0
190,13915.182648401827,276.0
191,12928.7899543379,276.0
192,12382.751141552511,276.0
193,12206.609589041096,276.0
194,12206.609589041096,276.0
195,12118.538812785388,276.0
196,12541.278538812785,276.0
197,15112.945205479453,276.0
198,17438.013698630137,276.0
199,18512.477168949772,276.0
200,18935.21689497717,276.0
201,18952.831050228313,276.0
202,19199.429223744297,276.0
203,19217.043378995433,276.0
204,19322.728310502283,276.0
205,18935.21689497717,276.0
206,18723.847031963473,276.0
207,18424.406392694065,276.0
208,18213.03652968037,276.0
209,18001.666666666668,276.0
210,18248.264840182652,276.0
211,18917.60273972603,276.0
212,18882.374429223746,276.0
213,17543.698630136987,276.0
214,16046.495433789956,276.0
215,14901.575342465754,276.0
216,14232.237442922376,276.0
217,13844.726027397262,276.0
218,13827.11187214612,276.0
219,13686.198630136987,276.0
220,13756.655251141554,276.0
221,15940.810502283106,276.0
222,17948.82420091324,276.0
223,18776.689497716896,276.0
224,19164.200913242013,276.0
225,19093.744292237447,276.0
226,19446.027397260277,276.0
227,19569.326484018267,276.0
228,19410.799086757994,276.0
229,19217.043378995433,276.0
230,18917.60273972603,276.0
231,18600.547945205482,276.0
232,18512.477168949772,276.0
233,18283.493150684935,276.0
234,18653.390410958906,276.0
235,19199.429223744297,276.0
236,19005.673515981736,276.0
237,17596.541095890414,276.0
238,16099.337899543381,276.0
239,14901.575342465754,276.0
240,14285.079908675802,276.0
241,14056.095890410961,276.0
242,14020.867579908678,276.0
243,13827.11187214612,276.0
244,13932.79680365297,276.0
245,16064.109589041098,276.0
246,18283.493150684935,276.0
247,19305.114155251144,276.0
248,19780.696347031964,276.0
249,19727.85388127854,276.0
250,19939.223744292238,276.0
251,20009.680365296805,276.0
